config_id,proposal_id,seed,n_nodes,n_edges,mean_degree,max_degree,min_degree,degree_gini,global_clustering,mean_path_length,modularity,n_components,largest_component_size,is_connected,attempts
0,srma,0,100,300,6.0,8,4,0.06366666666666676,0.4382857142857143,3.5335353535353535,0.6223222222222222,1,100,True,1
0,wealth_tax,1,100,300,6.0,8,4,0.06296666666666662,0.44085714285714284,3.4735353535353535,0.6207555555555556,1,100,True,1
0,un_veto,2,100,300,6.0,8,3,0.06676666666666664,0.4355238095238095,3.632727272727273,0.63125,1,100,True,1
0,aesthetic_objectivity,3,100,300,6.0,8,4,0.06343333333333323,0.4678809523809524,3.6133333333333333,0.6476166666666666,1,100,True,1
0,meaning_of_life,4,100,300,6.0,8,4,0.05666666666666664,0.4634761904761905,3.6725252525252525,0.6513,1,100,True,1
0,regifting,5,100,300,6.0,8,4,0.05666666666666664,0.46759523809523806,3.7387878787878788,0.6243611111111111,1,100,True,1
0,shared_workplace,6,100,300,6.0,8,3,0.06856666666666666,0.4624761904761905,3.641212121212121,0.6452222222222221,1,100,True,1
1,srma,1000,100,400,8.0,10,6,0.0532999999999999,0.4856825396825397,3.0953535353535355,0.563565625,1,100,True,1
1,wealth_tax,1001,100,400,8.0,10,6,0.06142500000000006,0.4748015873015873,3.0490909090909093,0.544503125,1,100,True,1
1,un_veto,1002,100,400,8.0,10,5,0.059125000000000094,0.4737301587301587,3.0402020202020203,0.533071875,1,100,True,1
1,aesthetic_objectivity,1003,100,400,8.0,10,6,0.05367499999999992,0.46484920634920635,3.0016161616161616,0.561409375,1,100,True,1
1,meaning_of_life,1004,100,400,8.0,10,5,0.04830000000000001,0.5013015873015872,3.032929292929293,0.5594843749999999,1,100,True,1
1,regifting,1005,100,400,8.0,10,5,0.0580750000000001,0.5057460317460317,3.0115151515151517,0.5551468749999999,1,100,True,1
1,shared_workplace,1006,100,400,8.0,10,5,0.062025,0.47534126984126984,2.9496969696969697,0.574940625,1,100,True,1
2,srma,2000,100,300,6.0,9,3,0.11406666666666676,0.2984920634920635,3.1044444444444443,0.5295166666666666,1,100,True,1
2,wealth_tax,2001,100,300,6.0,9,1,0.11949999999999994,0.23867460317460318,2.9943434343434343,0.5144333333333333,1,100,True,1
2,un_veto,2002,100,300,6.0,10,2,0.11733333333333329,0.2790238095238095,3.003030303030303,0.5327833333333333,1,100,True,1
2,aesthetic_objectivity,2003,100,300,6.0,9,2,0.12196666666666656,0.24414285714285713,2.9717171717171715,0.5317888888888889,1,100,True,1
2,meaning_of_life,2004,100,300,6.0,10,3,0.11533333333333329,0.2831031746031746,3.0656565656565657,0.5473222222222223,1,100,True,1
2,regifting,2005,100,300,6.0,9,2,0.1178999999999999,0.2311984126984127,2.976969696969697,0.51785,1,100,True,1
2,shared_workplace,2006,100,300,6.0,10,2,0.12203333333333322,0.24711904761904763,2.9816161616161616,0.5090333333333333,1,100,True,1
3,srma,3000,100,400,8.0,12,3,0.0956999999999999,0.26607142857142857,2.5993939393939396,0.472421875,1,100,True,1
3,wealth_tax,3001,100,400,8.0,12,1,0.1115250000000001,0.23666738816738817,2.5886868686868687,0.437740625,1,100,True,1
3,un_veto,3002,100,400,8.0,11,3,0.11165000000000003,0.25627056277056276,2.5993939393939396,0.475396875,1,100,True,1
3,aesthetic_objectivity,3003,100,400,8.0,11,5,0.09440000000000004,0.24722727272727274,2.6175757575757577,0.47424687499999996,1,100,True,1
3,meaning_of_life,3004,100,400,8.0,13,3,0.12220000000000009,0.3151298701298701,2.6551515151515153,0.508628125,1,100,True,1
3,regifting,3005,100,400,8.0,11,4,0.09905000000000008,0.30474386724386726,2.6226262626262624,0.47052812499999996,1,100,True,1
3,shared_workplace,3006,100,400,8.0,13,4,0.12202500000000005,0.2631428571428571,2.5917171717171716,0.46562812499999995,1,100,True,1
4,srma,4001,100,300,6.0,10,2,0.14996666666666658,0.12331746031746033,2.835757575757576,0.4266,1,100,True,2
4,wealth_tax,4001,100,300,6.0,10,2,0.14996666666666658,0.12331746031746033,2.835757575757576,0.4266,1,100,True,1
4,un_veto,4002,100,300,6.0,11,1,0.16416666666666657,0.16261255411255413,2.8333333333333335,0.4257,1,100,True,1
4,aesthetic_objectivity,4004,100,300,6.0,11,2,0.17656666666666676,0.08507070707070706,2.78989898989899,0.36848333333333333,1,100,True,2
4,meaning_of_life,4004,100,300,6.0,11,2,0.17656666666666676,0.08507070707070706,2.78989898989899,0.36848333333333333,1,100,True,1
4,regifting,4005,100,300,6.0,9,2,0.14626666666666677,0.10392063492063493,2.8082828282828283,0.41375555555555554,1,100,True,1
4,shared_workplace,4006,100,300,6.0,12,1,0.16809999999999992,0.11728860028860028,2.781010101010101,0.4160388888888889,1,100,True,1
5,srma,5000,100,400,8.0,14,4,0.14460000000000006,0.13521944721944723,2.4664646464646465,0.353403125,1,100,True,1
5,wealth_tax,5001,100,400,8.0,12,3,0.1564000000000001,0.13389466089466087,2.450707070707071,0.32005625,1,100,True,1
5,un_veto,5002,100,400,8.0,13,4,0.15582499999999988,0.14976467976467978,2.479191919191919,0.345071875,1,100,True,1
5,aesthetic_objectivity,5003,100,400,8.0,12,2,0.12870000000000004,0.1557049062049062,2.47959595959596,0.39086875,1,100,True,1
5,meaning_of_life,5004,100,400,8.0,12,3,0.1294249999999999,0.12957215007215006,2.4606060606060605,0.34762187499999997,1,100,True,1
5,regifting,5005,100,400,8.0,13,3,0.1634500000000001,0.1584930624930625,2.478181818181818,0.365234375,1,100,True,1
