username,comment_count,submission_count,total_activity
ThrowRaGap-4099,-1,-1,-2
HogwartsZoologist,-1,-1,-2
DocSternau,-1,-1,-2
Status-Grocery2424,-1,-1,-2
RedwoodRespite,-1,-1,-2
Frequent-Feature617,-1,-1,-2
Disastrous_Tale_8580,-1,-1,-2
eeekkk9999,-1,-1,-2
Jsmith2127,-1,-1,-2
wetcherri,-1,-1,-2
yeah_222,-1,-1,-2
Kennedia27890,-1,-1,-2
ShneefQueen,-1,-1,-2
MarsailiPearl,-1,-1,-2
DavidHikinginAlaska,-1,-1,-2
Conscious_Reading121,-1,-1,-2
mkaszycki81,-1,-1,-2
Throw_Away1727,-1,-1,-2
Huh_huh_huh-,-1,-1,-2
right_to_write,-1,-1,-2
ZaBardo4,-1,-1,-2
whackyelp,-1,-1,-2
ForeverSunflowerBird,-1,-1,-2
UsuallyWrite2,-1,-1,-2
Badbeanbby,-1,-1,-2
No_Location_5565,-1,-1,-2
sassysiggy,-1,-1,-2
ItsSchuSchu,-1,-1,-2
imsadandthatsrad,-1,-1,-2
whatsmypassword73,-1,-1,-2
Historical_Kick_3294,-1,-1,-2
LadyKlepsydra,-1,-1,-2
MarlsDarklie,-1,-1,-2
Only_Tip9560,-1,-1,-2
Imtifflish24,-1,-1,-2
cynical-puppy26,-1,-1,-2
Kindly-Parsley9765,-1,-1,-2
No_Editor_6895,-1,-1,-2
Prudence_rigby,-1,-1,-2
Caferacer360,-1,-1,-2
Impressive_Owl3903,-1,-1,-2
Ok-Cow1521,-1,-1,-2
_JeanLouise_,-1,-1,-2
harleywren01,-1,-1,-2
To_Sandri,-1,-1,-2
Low_Armadillo9823,-1,-1,-2
DistributionSalty721,-1,-1,-2
helendestroy,-1,-1,-2
eKg_78,-1,-1,-2
ghoulishgirl,-1,-1,-2
Fun_Complaint_5964,-1,-1,-2
Beginning-Science236,-1,-1,-2
ThrowRameowmeow2,-1,-1,-2
